,,,,,,Sc,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,,Total REE,Critical,Uncritical,Excessive,PctCrit
Sample,Plant,Unit,Type,Row,Basin,mg kg-1  ,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,,mg kg-1,mg kg-1,mg kg-1,mg kg-1,%
93440,F,2,ESP,2,App,41.31,75.35,166.28,19.05,73.47,16.24,3.66,16.61,2.67,15.90,94.89,3.29,9.38,1.33,8.24,1.25,,549,200,127,180,39.4
93441,F,2,ESP,2,App,39.02,76.98,168.57,19.14,73.05,16.06,3.59,16.02,2.57,14.99,88.90,3.09,8.76,1.24,7.80,1.15,,541,192,128,182,38.2
93442,F,"1,2",BA,,App,32.53,68.06,149.23,16.61,62.58,13.36,2.81,13.20,2.10,12.57,72.97,2.58,7.37,1.04,6.60,0.99,,465,160,111,160,37.1
93446,P,1,ESP,1,IL,19.64,38.48,80.67,9.26,35.32,7.18,1.58,7.17,1.13,6.75,39.06,1.41,4.06,0.62,3.78,0.57,,257,88,62,87,37.1
93447,P,1,ESP,2,IL,20.71,35.44,75.82,8.86,33.54,7.13,1.56,7.02,1.15,6.80,40.12,1.45,4.22,0.62,3.93,0.60,,249,87,58,82,38.3
93448,P,1,ESP,3,IL,25.30,37.15,79.80,9.30,35.21,7.58,1.74,7.58,1.22,7.16,43.34,1.56,4.58,0.65,4.30,0.64,,267,93,62,87,38.6
93453,P,2,ESP,1,IL,22.03,46.17,97.66,11.25,42.55,8.50,1.82,8.00,1.26,7.35,42.06,1.52,4.45,0.65,4.19,0.62,,300,99,74,105,35.8
93454,P,2,ESP,2,IL,23.38,45.92,97.75,11.32,42.23,8.60,1.81,7.80,1.22,7.41,42.59,1.54,4.52,0.64,4.12,0.65,,302,100,74,105,35.9
93455,P,2,ESP,3,IL,23.73,44.74,95.11,11.00,40.84,8.30,1.78,7.54,1.19,7.02,41.63,1.44,4.27,0.61,3.92,0.62,,294,97,72,102,35.8
93485,O,1,ESP,1,IL,23.98,48.70,102.43,11.67,43.82,8.85,1.94,8.17,1.27,7.54,42.62,1.54,4.52,0.68,4.24,0.66,,313,102,77,110,35.2
93486,O,1,ESP,2,IL,21.71,41.60,88.40,10.15,37.61,7.56,1.60,6.96,1.08,6.49,37.29,1.36,3.84,0.56,3.74,0.56,,271,88,66,95,35.3
